defect_id,source_artifact,observed_on_utc,severity,stage_tag,domain,user_prompt_excerpt,observed_behavior,expected_behavior,status,next_phase
MAN-014,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,clarification_policy,sales,"Please provide for top 10, not only top 5","Asked unrelated target clarification after clear antecedent.","Use follow-up reference to previous top-10 products context.",open,R2
MAN-015,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,response_shaping,sales,"Give me the list of those products with sold quantity and revenue","Initially returned only top-5 rows from top-10 context.","Respect inherited `top_n=10` unless user changes it.",open,R3
MAN-016,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,response_shaping,sales,"Please give me list of sold items","Returned duplicated item rows where unique list was requested.","Apply dedupe/aggregation matching query semantics.",open,R3
MAN-017,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,capability_resolution,finance,"Compare Yangon vs Mandalay last month: revenue, gross margin, avg order value","Returned customer-level sales table instead of territory comparison.","Enforce requested dimension (`territory`) and requested metrics.",open,R1
MAN-018,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,response_shaping,finance,"Show gross margin by item group for last month","Returned runtime-style errors (`Item None not found`) in chat.","Return safe unsupported/no-data envelope without raw report errors.",open,R4
MAN-019,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,response_shaping,finance,"Top 10 customers by gross profit last month","Returned low-level error text (`Days Since Last Order...`).","Return explicit unsupported capability envelope.",open,R4
MAN-020,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,response_shaping,sales,"Show details for invoice ACC-SINV-2099-99999","Returned generic unsupported response without document no-data specificity.","Return no-data envelope with attempted document ID.",open,R4
MAN-021,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,capability_resolution,purchasing,"Top 5 suppliers by purchase amount last month, show amount","Mis-routed to item-wise sales register output.","Route to purchase report or explicit unsupported envelope.",open,R1
MAN-022,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,transform_last,purchasing,"show as million (after supplier payable table)","Returned `value=0` in one run for payable conversion.","Use numeric conversion on selected metric columns without dropping values.",open,R3
MAN-023,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,context_binding,finance,"Who are those suppliers and their payable amounts?","Output switched between `Party Type`, `Supplier Group`, and `Supplier` across turns.","Honor correction phrases and retain active dimension intent.",open,R2
MAN-024,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,response_shaping,sales,"Show details for invoice ... customer, items, qty, amount, outstanding","Outstanding field missing in detail output.","Return requested columns exactly when data is available.",open,R3
MAN-025,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,quality_gate,platform,"Any clear ask where wrong table returned with plausible structure","Semantic checks passed despite business mismatch.","Quality gate must fail report-family/dimension mismatch deterministically.",open,R5
